Date,Close,High,Low,Open,Volume
2025-09-17,257.70184326171875,259.9047553966949,254.01369860490186,257.11373687364005,6566900.0
2025-09-18,266.7129211425781,268.1184082496859,263.29391549540645,264.2109514959015,12601600.0
2025-09-19,265.0083923339844,266.54346797965053,262.7556521691149,266.44378221204164,5839100.0
2025-09-22,268.9656982421875,269.7930567169024,265.7261082678056,265.7958913526279,5721400.0
2025-09-23,268.646728515625,271.25833139290376,267.0518474732166,269.9226272655866,6068300.0
2025-09-24,268.2380065917969,268.89589608511557,264.75916531258935,267.8791439500675,7825500.0
2025-09-25,267.3807678222656,268.0785377604372,260.9613939024563,263.73248783033733,11157800.0
2025-09-26,267.9688415527344,268.5569783709552,264.8887434222226,267.66981471280934,7244300.0
2025-09-29,268.0685729980469,271.92617198970925,268.0087676198681,270.849644762665,5954900.0
2025-09-30,270.2515563964844,270.5805163912246,266.9023335907792,267.98883850405235,7091800.0
2025-10-01,275.454833984375,275.8136966636109,268.0187381060541,268.517136524008,9339600.0
2025-10-02,280.7876892089844,281.63497256143256,278.71433485806483,280.5982953859728,7250000.0
2025-10-03,279.0632019042969,283.4291764158736,277.5879622237318,282.04364478995194,8629100.0
2025-10-06,287.4363098144531,291.57304085833806,287.4263625319624,290.0578902580364,11275000.0
2025-10-07,281.0069580078125,290.5463096142012,280.62817039914273,290.0479112701243,9952000.0
2025-10-08,290.6061706542969,290.92512253654496,280.57839648400136,281.0967199100028,9301700.0
2025-10-09,289.26043701171875,290.6758712916227,286.5491487690031,290.14757025704085,7603500.0
2025-10-10,271.1187438964844,290.69584707224664,270.5904428248684,289.88844412166037,26691200.0
2025-10-13,283.9574890136719,285.0340465528319,279.44200089399476,281.87418742934375,8703400.0
2025-10-14,278.1361999511719,283.85780364443167,276.47153596991706,277.6078988828377,8476000.0
2025-10-15,286.7186279296875,287.09738513696135,280.9371886052611,285.33306586423816,7595200.0
2025-10-16,288.0543212890625,291.323813247951,285.0240508038079,290.14757002300155,7410400.0
2025-10-17,287.2469482421875,288.7122407600891,282.8111902987929,285.97104955053214,6261500.0
2025-10-20,292.0315246582031,294.0550207025158,289.56943564095195,289.6790686742763,5832300.0
2025-10-21,290.3968200683594,291.7624573391021,288.29359326464487,291.5630857962681,3965200.0
2025-10-22,283.2198791503906,288.90160264844985,277.5680279196614,287.18711093868836,7875300.0
2025-10-23,290.12762451171875,290.92504964728954,281.3458486405282,281.5850700972356,5374800.0
2025-10-24,294.91229248046875,297.26474879331386,294.4936548512888,295.3807882025296,4621200.0
2025-10-27,303.10595703125,304.03300117270146,299.4477298167244,300.46445159981647,5165000.0
