,Open,High,Low,Close,Volume
2024-05-28,31.63163244118069,31.925708377357804,31.448762594039938,31.7799072265625,2762400
2024-05-29,31.550080248255806,31.86639625658727,31.43887604968032,31.619274139404297,2695600
2024-05-30,31.693414179002918,31.78237829945957,31.295547386236294,31.51795768737793,2211600
2024-05-31,31.57243095820872,31.62442830339515,30.24277808297221,31.129213333129883,6855600
2024-06-03,31.277774197531286,31.505572606808776,30.742943067527836,31.344627380371094,3973600
2024-06-04,31.339678428044525,31.54766969198126,30.785038206038468,30.876651763916016,4393600
2024-06-05,31.000459926982852,31.2406395172744,30.74542449039547,31.064838409423828,2698800
2024-06-06,31.03264640592093,31.14902222559172,30.349249221512654,30.359153747558594,2898000
2024-06-07,30.579525079122444,31.077216664012724,30.47057717878352,30.63895034790039,3485600
2024-06-10,30.500293581037113,31.163881792618696,30.38144114338419,31.064838409423828,2690800
2024-06-11,30.866750287059077,30.893985372706375,30.116498013372567,30.542383193969727,2585600
2024-06-12,30.50276667157604,30.542382886833444,29.616331422186256,30.136306762695312,4196400
2024-06-13,30.06202579481139,30.17592501172841,29.737658703428696,30.027359008789062,2888400
2024-06-14,29.712899417602983,29.980315965744275,29.440531550760678,29.7475643157959,3054400
2024-06-17,29.712895655896023,30.02240498564494,29.544522504948812,29.975358963012695,1849200
2024-06-18,29.935745103332543,29.97040999986061,29.60147537875751,29.64851951599121,2306800
2024-06-20,29.745087674817604,29.90355632038632,29.638616376473443,29.77480125427246,3755200
2024-06-21,29.802038602437985,29.878796322286966,29.257302862621774,29.757469177246094,4255200
2024-06-24,29.732704706382762,30.47305049419556,29.73022810279816,29.975358963012695,3010400
2024-06-25,29.997646700089756,30.312107369748666,29.920887096397294,30.235349655151367,2197200
2024-06-26,30.19325567886415,30.468100123353516,29.99269234236686,30.455718994140625,2281600
2024-06-27,30.525051562926734,30.745422081494215,30.391343289454007,30.453245162963867,2168800
2024-06-28,30.520099859806443,30.55228815355182,30.084310146839712,30.356678009033203,3506400
2024-07-01,30.723137201747537,31.480815501572955,30.32696560344324,31.384248733520508,3292000
2024-07-02,31.446149930809693,31.683852884697625,31.371866931240586,31.619474411010742,2808400
2024-07-03,31.693759394675943,31.94136688994685,30.733042993099126,31.082168579101562,1865200
