Date,Open,High,Low,Close,Volume
2024-07-02,66.0590989541223,66.62531836232641,65.47400148571816,66.50263977050781,9415200
2024-07-03,66.9273075993081,67.86157725351981,66.5781426577177,67.78607940673828,4487200
2024-07-05,67.94651105198656,68.27680515184834,67.60677792073692,68.03144073486328,7688800
2024-07-08,68.08805714735573,68.49384903554699,67.70113611913766,68.05030822753906,5368700
2024-07-09,68.00311881013623,68.88076137728879,67.64451487942286,68.05974578857422,6220100
2024-07-10,68.19186904807393,69.01288470472815,67.6445204770573,68.79583740234375,6740900
2024-07-11,69.36205277907091,70.97578130627302,69.32430385915228,70.49449157714844,12188700
2024-07-12,70.77761198344983,72.38190164179296,70.56055747209068,71.7213134765625,11099400
2024-07-15,69.99433677870361,70.21139128622526,66.77631848801663,66.97449493408203,19575400
2024-07-16,67.51240920275345,68.22018535950598,66.86125283458226,67.85214233398438,10551800
2024-07-17,67.71058449339046,68.1824352564106,66.51208672326266,66.90843963623047,11878900
2024-07-18,67.00280021247764,68.28623470803022,66.83293367042302,67.63507843017578,10212300
2024-07-19,67.8710048434829,68.28623577496424,67.41803219084007,67.94650268554688,7752100
2024-07-22,68.84301815509785,69.9754642192568,68.66371977483915,68.79583740234375,9034700
2024-07-23,68.35229238620208,68.90907275378972,67.86157082832604,68.05030822753906,7027500
2024-07-24,68.63541514511081,71.48539058532154,68.22018416976533,71.16453552246094,17813700
2024-07-25,70.95691267976856,71.40988533330973,69.17331755672534,69.30543518066406,13934200
2024-07-26,70.05095951858158,70.7681674133019,69.38092517503084,70.07926940917969,7076200
2024-07-29,70.26800139219826,70.466177810967,69.41866874042513,70.15475463867188,5977500
2024-07-30,70.33406224533229,70.33406224533229,69.07893769006675,70.09813690185547,8505500
2024-07-31,70.65492490975514,72.55175949957352,70.48505837336707,72.08934783935547,15618100
2024-08-01,72.02329159673914,74.00506312529154,71.62693873100274,73.97675323486328,11136600
2024-08-02,74.89215323093241,76.02459217540341,73.4388520256095,74.74115753173828,14513100
2024-08-05,74.12774601690076,74.55240875645148,72.18371628506135,72.36302185058594,11877600
2024-08-06,72.52345672255602,73.98619688489761,72.35359016950906,72.63670349121094,9050900
2024-08-07,73.34446184151265,74.32591199933528,72.9386700185655,73.19346618652344,8193200
2024-08-08,72.77826105722124,73.8257702807271,72.28753225348414,73.17461395263672,6935900
2024-08-09,73.13686238634581,73.63702300294409,72.05160427870331,73.09911346435547,5041200
2024-08-12,72.97643121664997,73.2406664574915,72.56120029540168,73.21235656738281,5955600
2024-08-13,73.93900928287967,74.08056594440367,73.16517435973552,73.72196197509766,5108900
2024-08-14,73.60871740209001,74.15606600304898,72.75938460747629,73.61815643310547,4620700
2024-08-15,73.17460424390161,73.42940044289946,72.78768323075786,73.05192565917969,5946500
2024-08-16,73.15573231414058,74.35423717246448,72.89149706344982,74.14662170410156,6344200
2024-08-19,74.1466272926467,75.09032880188231,74.01450965734341,74.8827133178711,5617000
2024-08-20,74.88270372412507,75.29793463894937,74.51466075866543,74.53353881835938,5967300
2024-08-21,74.71284646949546,75.48668141608341,74.67509754528737,75.15638732910156,5125300
2024-08-22,75.19413624164308,75.43950064902201,74.042819253024,74.47692108154297,8006600
2024-08-23,74.98651022727371,75.79809398396408,74.70340413532341,75.17525482177734,5052900
2024-08-26,75.49611406096288,76.50587429853344,75.45836513994794,76.10008239746094,5378700
2024-08-27,75.83585074890408,76.10008600867707,75.0997647538591,75.1280746459961,5086000
2024-08-28,75.24132287251341,75.6187977081494,74.73172320455966,74.93933868408203,5462400
2024-08-29,75.05257099313235,75.66597834149724,74.2787361351572,75.52442169189453,5179200
2024-08-30,75.59565608807802,76.68794310719073,75.48168310116338,76.46949005126953,6808200
2024-09-03,76.7164342327026,77.10586125123251,75.63364740793934,75.91859436035156,9883900
2024-09-04,76.37452135009318,77.44780819782633,76.28903435086484,77.01089477539062,7517700
2024-09-05,77.84672418558627,78.01769092871541,76.20355066498662,76.29853057861328,8494900
2024-09-06,76.80193604389756,77.1153763027613,75.80462876442326,75.96610260009766,8181500
2024-09-09,76.08957876226495,77.16286567226379,75.28223853817707,77.1153793334961,6918000
2024-09-10,77.38131544543018,78.2551422215894,76.98239547107522,78.16966247558594,9588000
2024-09-11,78.549575747215,79.37591612405565,77.62826271352175,79.2429428100586,10216500
2024-09-12,79.24295297801507,79.7558532177453,78.55908599170809,79.27144622802734,7856600
2024-09-13,79.68935797995842,80.47770496250926,79.3094311121566,80.40171813964844,6734400
2024-09-16,80.81964041896508,81.26605399621877,80.13578067448408,80.39222717285156,8791400
