Date,Close,High,Low,Open,Volume
2024-09-10,148.96743774414062,151.24153092353643,148.50368808226207,150.3974322904828,20401800
2024-09-11,151.09255981445312,151.42026815094792,147.66654015508587,150.0399291805409,18991500
2024-09-12,154.458984375,154.52850514563386,152.43316912034558,153.73406214572904,20980800
2024-09-13,157.26934814453125,158.16805732227857,155.02506024998843,155.27530779796513,16733900
2024-09-16,157.885009765625,158.13327224174085,156.514596048589,157.22959319202178,14157600
2024-09-17,159.16604614257812,160.46693916382722,158.30209752752506,158.97736422601716,12064800
2024-09-18,159.6923828125,160.50669116096248,158.55038126820853,159.73211330170113,16756500
2024-09-19,162.10548400878906,163.8433214718444,161.3924718207304,163.67450479376214,17548200
2024-09-20,163.49574279785156,163.60497889821792,162.04588320687435,163.3765816529936,46362700
2024-09-23,161.93667602539062,165.4520664721991,161.81749971766186,164.19088868852813,15648400
2024-09-24,162.50271606445312,163.40639528269398,160.90390481400462,163.10847722525017,18774100
2024-09-25,161.8572235107422,163.0756856672283,161.64370624656462,161.83735826815212,13607900
2024-09-26,162.69137573242188,164.3497673367662,162.36366742937327,163.8830326463097,18234500
2024-09-27,164.1412353515625,165.80956730740832,162.69139077068456,162.77083659265259,13604300
2024-09-30,166.0280303955078,166.19684707562433,163.49574988827916,163.63477628088927,14070100
2024-10-01,167.24948120117188,169.25544646816078,164.7469909281875,167.68642563088636,18629500
2024-10-02,166.14720153808594,167.7062973908122,165.09457090890984,166.59407103029866,12745000
2024-10-03,166.0478973388672,166.74302930903772,164.22067382089543,164.6675584435498,11004300
2024-10-04,167.38848876953125,168.37161362581077,165.7996180207003,168.16306647954337,11422100
2024-10-07,163.24749755859375,168.71919789402915,162.9893099998765,167.9644853089578,14034700
2024-10-08,164.54837036132812,164.94559942494973,163.16803156481424,164.28024263747596,11723900
2024-10-09,161.92672729492188,165.10448419999233,160.00020790951473,163.70925019047905,19666400
2024-10-10,162.0458984375,163.16904991376168,160.51660804137322,160.9833427729214,12900500
2024-10-11,163.3765869140625,164.12137439888787,161.37062171216556,162.19485501370113,10946000
2024-10-14,165.19386291503906,166.45502542378924,163.63476724220087,163.76386858275777,9981800
2024-10-15,165.7400360107422,167.91481789675836,164.89595261729906,165.978373461518,14829300
2024-10-16,165.58116149902344,166.1174018287217,164.06775124698822,164.87608933588828,9968500
2024-10-17,163.36666870117188,166.76289827068587,163.22764229140495,166.21673283050723,15113400
2024-10-18,163.9029083251953,165.21372646812054,163.60499028956752,163.72415144272233,13091300
2024-10-21,164.64767456054688,165.0647536954305,163.1630546732264,163.4361524842349,11384000
2024-10-22,165.66061401367188,166.3060904749423,163.52554734804474,163.5553376368578,11958600
2024-10-23,163.3368682861328,166.4351947517805,162.49575477099077,165.27331285669933,12754300
2024-10-24,163.3865203857422,163.90291064462184,161.63875778619533,163.44610096316273,12764400
2024-10-25,165.8294219970703,166.23656097372537,164.08164433049168,164.21571577585414,14566400
2024-10-28,167.17002868652344,169.42028634833125,164.63774822681947,169.40439112401398,20858300
2024-10-29,169.95057678222656,170.66557399607956,167.4878170193665,168.20776917936732,28916100
2024-10-30,174.91580200195312,182.51262738148273,174.52354306388614,181.14222887644777,49698300
2024-10-31,171.48980712890625,177.17997939292334,171.3607057798754,173.50569741909058,32801900
2024-11-01,171.45010375976562,172.6119857793251,169.12637002613246,170.34781747800486,21752900
2024-11-04,169.49378967285156,170.7251772945441,168.30710264162224,170.0499104764415,16194000
2024-11-05,170.2187042236328,170.9009260585456,169.18592373757042,169.64273340500964,12518300
2024-11-06,177.09059143066406,177.39843447686914,173.82344875668977,174.13130695563387,27061500
2024-11-07,181.01315307617188,181.3110711071946,177.64671417691807,177.8651863894854,16730400
2024-11-08,178.60997009277344,181.08266999912092,178.3219922656439,180.73509644486165,15021500
2024-11-11,180.70529174804688,180.81949794168005,178.7390571862804,178.81850299671146,12503400
2024-11-12,182.0459442138672,182.7460311715292,179.73213575648364,180.11942467364923,14065800
2024-11-13,179.23562622070312,181.3458577799427,178.86818736299404,180.88407794618934,13969700
2024-11-14,176.117431640625,179.19092274384312,174.80659830717403,178.50074568886524,17925800
2024-11-15,172.6814727783203,174.65764783498074,171.54442622705213,174.41931036773173,21708900
2024-11-18,175.57122802734375,175.68046412411874,173.20776438043342,173.73904972169086,18662800
2024-11-19,178.3319091796875,178.91780500479192,173.89892978378998,174.0171059990693,15392900
2024-11-20,176.09756469726562,177.8651925490767,174.11146462532136,177.58713975122382,15729800
2024-11-21,168.06378173828125,174.3597148874668,164.1610874916067,174.23558364168912,38839400
