Date,Open,High,Low,Close,Volume
2024-08-19,183.32530985037423,184.7293649962431,180.45244025955427,184.6198272705078,1626900
2024-08-20,184.18167490911992,185.2172917905061,180.91546352649024,183.2257080078125,1138200
2024-08-21,182.6979349927841,184.46049085126484,181.04491684741976,183.48460388183594,1601400
2024-08-22,184.2215084773238,185.9591605463716,181.54282573373706,185.21730041503906,2067900
2024-08-23,180.03919494327437,182.7875753673408,172.34172711025292,182.51870727539062,4872700
2024-08-26,180.71629735965067,182.4987732473296,178.4359407507069,181.3635711669922,2176800
2024-08-27,180.23833923852436,186.3126760862731,179.73049082453053,184.76919555664062,1613100
2024-08-28,183.07634530194184,184.58993803669253,180.00930445324425,183.2257080078125,2067600
2024-08-29,185.21728823346905,194.85654626318973,184.57499822140338,190.5547332763672,3155500
2024-08-30,195.0358198407808,200.52262823764622,193.3828014900748,200.15419006347656,3347700
2024-09-03,199.15840905076385,201.7474744462561,186.75881063618925,191.73976135253906,4275300
2024-09-04,192.21771470512192,203.33075627170317,191.31353089351245,198.78994750976562,3765100
2024-09-05,196.26062478872007,199.88530674983906,193.45249949091638,197.60494995117188,3064200
2024-09-06,198.15261808814992,200.33338939241523,192.56622541650657,197.49539184570312,3884700
2024-09-09,199.16834111640134,202.07605176759026,196.54941863774394,200.9607696533203,1654700
2024-09-10,201.88686643544253,202.1457668737051,198.30200931945637,201.15992736816406,1894700
2024-09-11,203.24113007316973,209.23578628864382,200.65206509093917,208.26986694335938,3787500
2024-09-12,199.15838852390516,216.17646917657387,198.80985526615666,214.3641357421875,4041400
2024-09-13,219.72148665302151,227.7147166206973,218.08838847050964,224.6407012939453,3697500
2024-09-16,226.92107154542532,230.53578594568953,224.29218143860632,228.96243286132812,2334900
2024-09-17,236.66986989922788,238.9900669559413,232.52737175862586,236.1520538330078,5144000
2024-09-18,237.61586686316014,240.50266975156578,233.01531298193595,234.67828369140625,3255900
2024-09-19,242.28117008401847,243.96904485097792,237.10803844233973,243.42135620117188,3060800
2024-09-20,242.20645144458496,249.79339295779906,241.23057966985542,244.4270782470703,4111400
2024-09-23,246.78213144292658,253.79748375021194,245.75148315105986,250.47154235839844,3336700
2024-09-24,252.93113948718212,256.41641109428895,251.0590458759568,254.4049072265625,3804400
2024-09-25,256.0181221878523,256.6653808920956,251.10885986262426,253.97674560546875,2454200
2024-09-26,256.67534497388834,257.5516467597239,246.03032650529585,250.16285705566406,2817700
2024-09-27,249.70478517290485,253.35933982451002,248.5297579593693,248.80857849121094,2293600
2024-09-30,249.94378047546408,254.2754815535678,247.91237157474455,253.9070281982422,3372200
2024-10-01,254.92271675802033,256.51598981558914,250.04334271040503,255.4504852294922,2304100
2024-10-02,249.94376765028977,256.44628756124297,247.45428789281678,251.22833251953125,2769700
2024-10-03,252.0847311274443,256.15751663804156,249.83424674529493,253.60829162597656,1913700
2024-10-04,255.91856187850124,265.29893654504576,252.16442152175412,264.472412109375,3157300
2024-10-07,264.29319074464826,264.86079954758316,259.42375268130775,261.4352722167969,1925100
2024-10-08,262.9189786124833,265.43435034979524,261.14646994624115,263.157958984375,1671900
2024-10-09,263.38701044385675,268.1648250724715,261.7738321041605,265.4781799316406,1891700
2024-10-10,262.8890835592571,265.42834096069964,260.68839178539616,263.5064697265625,1795800
2024-10-11,262.64016599713773,268.9733891572277,259.9515151753406,265.7669677734375,1848400
2024-10-14,266.1353114601467,269.69026489359896,264.5719111272944,268.3658752441406,1822300
2024-10-15,268.86383311617993,269.7301672717332,258.9556908141977,265.2391357421875,2190200
2024-10-16,267.7684452180465,275.02777693246617,266.56354548577605,273.6137390136719,1844900
2024-10-17,278.0649316368405,280.188951469095,270.74588518822566,270.85540771484375,2510100
2024-10-18,272.5383377493995,274.1415484169491,270.208187920836,271.5724182128906,2353700
2024-10-21,275.8343934207531,276.4318747189913,271.13425380465975,275.26678466796875,2570000
2024-10-22,269.859629966931,277.11896210120545,269.40655798157485,275.2568359375,2631800
2024-10-23,272.5581906366573,281.7792332941766,267.3701233809481,278.7022399902344,4244600
2024-10-24,284.6073284706584,296.28798036620975,281.8091551912353,295.750244140625,3620100
2024-10-25,294.1470309576887,297.55262278226604,291.1646082134501,292.3048095703125,2087800
2024-10-28,294.495493692039,294.69466423237554,286.8677239123485,288.0129089355469,2231600
2024-10-29,286.78805833855546,297.70192871636453,282.9044761263854,297.5127258300781,2030600
2024-10-30,298.73755057678324,300.26111086915864,293.4299934660973,296.34765625,2085200
2024-10-31,298.7376065967984,302.4310140362673,294.77434340918296,300.390625,2550700
2024-11-01,303.716548263111,310.26884599867213,299.25538933541134,299.822998046875,2702200
2024-11-04,296.746056372928,300.2313288471067,291.30903982217524,294.21673583984375,2070500
2024-11-05,294.605092477944,315.1184153711975,293.62920530099535,314.4412536621094,3461400
2024-11-06,319.80855206801556,337.1552311314768,317.65763777058146,334.88482666015625,4486400
2024-11-07,337.5734829085523,338.9775532540746,331.10083500617594,335.3628234863281,2347600
2024-11-08,335.084024238031,341.3475647305244,334.33718020183926,339.74432373046875,1720000
2024-11-11,346.3364300627646,348.3180767193841,337.0755770297237,347.96954345703125,2486600
2024-11-12,345.0418835882247,347.92967393869316,317.7571923779828,322.3477783203125,6123700
2024-11-13,333.0127271847408,342.1969074865716,329.15898715973884,331.85760498046875,3054500
2024-11-14,331.85764918749146,333.7008429048017,323.91121814622835,324.66802978515625,2449500
2024-11-15,323.7319811803161,337.8084830998043,323.7319811803161,328.37237548828125,2931300
2024-11-18,325.19578647789024,331.83770180880094,320.8043403036975,324.0008239746094,1815200
2024-11-19,318.66337412326214,338.9576178107082,316.2137041807558,338.5692443847656,2200600
2024-11-20,342.30349328211724,346.53560919905976,336.31877375503916,341.3276062011719,2633600
2024-11-21,348.4275880352438,355.587334397994,337.95186793770256,338.4198913574219,2671800
2024-11-22,338.4198841639713,348.2284404820513,332.5944954561445,347.6907043457031,2714600
2024-11-25,352.03238711641717,353.49620261446574,326.8129693757223,327.5956726074219,6212400
2024-11-26,330.8718202261739,339.2763077298182,329.2237855655548,337.4639892578125,2007900
2024-11-27,337.8024661240843,338.31029928177406,328.2428586850345,333.9188537597656,2318200
2024-11-29,333.0525854103172,335.20349978734487,331.27013960195336,332.7140197753906,883700
2024-12-02,334.31721752395123,345.2111830802956,334.0981420956293,336.1195983886719,2328000
2024-12-03,337.32456185918903,338.5294617483037,325.2555668993638,330.5233154296875,2103800
2024-12-04,335.0690539044142,343.27938440689445,332.2260872157812,342.3034973144531,2424000
2024-12-05,344.5639630160378,353.19749368164446,343.48852094575545,346.66510009765625,2099500
2024-12-06,346.03773479801737,347.85008360891936,339.5650865212199,345.0519104003906,1622800
2024-12-09,338.9178091317199,343.54823579724206,323.13450004697114,333.8392639160156,3045900
2024-12-10,332.80363800821516,335.1736278461275,320.97462695013917,326.0123596191406,3473500
2024-12-11,332.1563713064221,349.1047399112736,331.9273282103118,342.353271484375,6671700
2024-12-12,341.5566415993501,341.5566415993501,326.8089651322718,328.521728515625,3281800
2024-12-13,333.37121719509673,336.57766838761006,328.0636596417522,330.6128845214844,2972900
2024-12-16,334.6458288112015,339.0671473487317,329.4477937948705,336.28887939453125,4229800
2024-12-17,331.59867599773025,332.59446781754326,322.13865370950674,326.9582824707031,4408900
2024-12-18,326.2114648693454,330.66265587784403,312.8678594873795,315.7855224609375,3906900
2024-12-19,323.5825939355311,336.0399300890796,321.1528592393027,331.3995361328125,4584500
2024-12-20,326.99487551533366,344.44431134375685,326.01825476834506,341.474609375,5476100
2024-12-23,343.05911103887433,345.08208729634885,335.834191489036,343.726806640625,1435900
2024-12-24,346.0187663657564,347.78263196347115,342.1322648043508,346.0885314941406,1062400
2024-12-26,344.6037149879341,344.6037149879341,337.7275911763099,341.8831787109375,1210900
2024-12-27,338.7739820456518,339.571202344167,331.3497425662084,332.6452331542969,1506600
2024-12-30,323.2179592223498,334.4788857153784,321.8825985311348,329.11749267578125,1837800
2024-12-31,329.7851955915716,331.94371824698067,326.3670684030566,327.7921142578125,1793800
2025-01-02,331.6387077979173,341.48453239673705,327.3834605751796,337.7674255371094,2471100
2025-01-03,330.5425539836867,353.7519930686054,330.35320883676246,352.8052673339844,2392400
2025-01-06,368.47085500255025,374.9932260470951,365.24207346946014,370.0354309082031,3419100
2025-01-07,371.96874013447024,373.324020701868,355.9902121596049,367.2451171875,2728200
2025-01-08,361.0565711096295,367.5141642294495,346.9953998370417,365.212158203125,3160100
2025-01-10,361.9435756784825,366.5575333346772,349.78576760270255,365.830078125,2387000
2025-01-13,354.1007198226529,365.5808857600611,351.7887689931491,365.541015625,3267900
2025-01-14,375.01813838986226,387.53468497503206,372.4072070752493,380.9375915527344,3095600
2025-01-15,389.64736840984756,391.4112342955038,378.68542198399507,385.69110107421875,2524000
2025-01-16,392.7067255275062,396.3839624372437,385.6910718315188,389.6473388671875,2111600
2025-01-17,391.9294575712446,402.7319539288364,388.2422452195403,400.0213623046875,2363800
2025-01-21,403.5988767330463,415.7666269458602,393.92247761117716,414.5608215332031,4223300
2025-01-22,428.51245922445054,432.59828177852665,416.65363213296575,425.62249755859375,4973900
2025-01-23,422.1644331582555,445.9518486906501,421.1977877110941,436.1957092285156,3925000
2025-01-24,435.4184689472091,435.4184689472091,414.56088187667035,419.03533935546875,4717500
2025-01-27,338.4251628872656,351.77879962343155,321.18499383698924,328.8583679199219,13356800
2025-01-28,350.1992798922746,354.28011435801403,316.6009213930511,353.8914489746094,10396700
2025-01-29,357.0604717830817,367.5640178390812,345.0621452936448,352.0279541015625,5449800
2025-01-30,363.7373238568978,386.2990179399214,363.6675587150849,381.6152648925781,5682500
2025-01-31,384.2261215531293,385.74085204183297,369.2780152667113,371.5899963378906,4139500
2025-02-03,349.12798828442226,365.9246890313536,347.74281283078614,360.4586486816406,4079400
2025-02-04,359.35252767080766,364.8135504098552,348.3556990748113,355.2966003417969,2766400
2025-02-05,362.71087337575256,368.19683409308084,358.3858909407047,366.65716552734375,2810000
2025-02-06,364.72381994631235,378.73517587088895,363.33663737956283,373.5332336425781,2460800
2025-02-07,379.3630615307438,388.5412221893945,374.091383747581,376.6624450683594,2391700
2025-02-10,377.83835289230353,384.3657119051251,370.7130938641437,383.6681213378906,2078900
2025-02-11,379.98088914229874,381.754730056232,368.09216800531874,371.6099548339844,2064300
2025-02-12,363.49808801683866,376.9513834901567,358.4854909940009,368.37115478515625,1825400
2025-02-13,374.69921787116505,375.89507860363966,359.3525006684166,369.0289001464844,2609700
2025-02-14,368.0025460976382,368.0025460976382,355.7650275973254,366.3183898925781,2238800
2025-02-18,366.64719277051415,376.46309232921385,362.0929954036601,371.958740234375,2407300
2025-02-19,368.66019529070843,375.17757868115615,364.98295840987805,373.9020080566406,1670900
2025-02-20,373.76246623960157,381.9640052558984,351.88839075863086,358.4356689453125,3456000
2025-02-21,356.36291454865534,358.6848406996058,324.29424624786066,326.7457275390625,6965000
2025-02-24,326.24742872967886,328.2474740474528,302.3902470942678,314.8171081542969,7156900
2025-02-25,306.1970621597511,320.9897043914654,296.96908684344555,316.5909729003906,6835200
2025-02-26,333.6716759347611,340.88665056363965,326.7158420058993,334.08026123046875,4676800
2025-02-27,343.9858228941986,347.30431960086474,320.886022719078,325.1512145996094,4768000
2025-02-28,321.234874537597,334.83764790118124,317.5775570854889,334.0204772949219,4096600
2025-03-03,333.5421426370537,336.2626789432817,307.7048332011303,314.88690185546875,4846200
2025-03-04,304.7420696511992,320.537242498752,293.431359420266,311.9869384765625,6257500
