,Open,High,Low,Close,Volume
2024-05-28,270.11724319447274,270.3437745284573,266.17723324117935,266.9159851074219,6212100
2024-05-29,264.96570410183693,267.0736241319912,264.2368117840687,264.8277893066406,5469700
2024-05-30,264.6701881597718,267.56609796255077,264.2860227496583,267.2311706542969,4901900
2024-05-31,267.3690875438638,268.669298090037,264.97553862469834,268.373779296875,8910000
2024-06-03,268.99436088045644,269.03376940187917,264.03979892282126,266.32501220703125,4838800
2024-06-04,265.5861856416265,268.8957790740083,265.27097767857515,268.3343505859375,4188500
2024-06-05,269.4277251101827,270.80672255975406,267.9403617574896,270.3831787109375,5368700
2024-06-06,270.67867527519513,272.9934371647316,269.9694722720157,272.8851013183594,4862400
2024-06-07,273.5450679844925,276.1257700279983,272.7078097491833,274.4906921386719,4515600
2024-06-10,273.96864476717565,274.38232903646826,269.2800226492285,270.9151306152344,5213800
2024-06-11,270.42263454384715,270.7378125446905,268.1374211933362,270.5506896972656,6244600
2024-06-12,272.61914814439945,273.4367171040431,265.8521853559906,266.2658996582031,7536600
2024-06-13,266.26585545764584,267.7827375075374,265.28085305958695,267.122802734375,7361200
2024-06-14,266.0492005253993,267.47743621787697,265.23163155766406,266.6007995605469,8537300
2024-06-17,264.965680696589,267.7532246314684,264.965680696589,267.1031494140625,9258200
2024-06-18,267.23117485132076,269.7921874459593,267.23117485132076,269.5163879394531,6707500
2024-06-20,269.0928321543689,273.87010023408544,269.00418553761835,272.66839599609375,10164400
2024-06-21,273.01314351906706,273.37758961762165,270.46196070940607,271.0923767089844,14594700
2024-06-24,271.1909057168588,276.184875794111,271.1416375540709,272.15618896484375,24149600
2024-06-25,272.69794991064373,273.7617393912108,269.427734375,269.427734375,18325800
2024-06-26,268.8170803768528,270.34382248060325,267.6744736805414,269.4967346191406,12172000
2024-06-27,264.48304552353915,266.53183761051224,262.5031807698617,262.5918273925781,10529100
2024-06-28,263.19267236448735,264.5716698123774,257.33189563609216,258.5335998535156,13957300
2024-07-01,259.83382264349837,261.78410839083426,257.38114593291914,259.29205322265625,7955800
2024-07-02,259.29203175676724,264.20721435546875,258.4646333173205,264.20721435546875,8697800
2024-07-03,265.03465810638323,265.70445266331933,264.1284424835507,264.9558410644531,5017800
2024-07-05,264.96567833324076,266.4924202178958,264.217066797595,266.3052673339844,7986400
2024-07-08,266.19692876768664,267.3690841613162,261.981119220311,262.4046630859375,8561100
2024-07-09,262.9957081781912,263.5374476130271,259.96191323529865,261.4591064453125,6431300
2024-07-10,255.23378932138925,259.5284149494844,254.6329523514772,259.05560302734375,9635500
2024-07-11,258.1987424895125,259.67624642465876,256.8492937049953,258.6124267578125,8803600
2024-07-12,260.37561038482505,263.38971624520525,259.7058157624954,261.7546081542969,6627800
2024-07-15,261.6856442711805,265.2020805773541,261.271929968158,264.4239501953125,6845200
2024-07-16,264.49285144051026,266.1575080134189,263.36010461619526,265.2119140625,7869900
2024-07-17,264.414048583357,268.81701054576666,264.21703607796945,268.61016845703125,5324700
2024-07-18,268.206356314674,269.51639649720227,264.53228593286735,265.1134338378906,5550800
2024-07-19,266.26591870603784,266.8864751738029,260.346043268342,261.4787902832031,6839900
2024-07-22,263.2222558317478,264.37469204113626,261.04537844086946,263.6950378417969,5313600
2024-07-23,263.517745169212,263.68520883806957,259.90277238997186,260.81884765625,8109200
2024-07-24,252.22960710175067,253.3426647791927,249.33369723544922,250.35809326171875,13065900
2024-07-25,251.55980326617805,254.34736231533594,248.91014397426014,249.93455505371094,8573300
2024-07-26,251.75678597018828,257.28266563955316,251.75678597018828,255.56874084472656,7062200
2024-07-29,256.4158338633343,258.76997398546166,254.701909234038,257.6766357421875,6068100
2024-07-30,259.2822299447265,260.3361598191181,257.09552309915404,259.1541748046875,5941800
2024-07-31,260.5725807462521,262.3652625262715,260.28692159244616,261.6856384277344,7642500
2024-08-01,262.3357064195416,262.99567133050584,260.21795702567493,261.94171142578125,7269700
2024-08-02,259.8732131645651,263.94127856238464,258.9374787649499,262.58197021484375,7017900
2024-08-05,257.52892754795977,258.97688249225746,250.69299244737195,252.59405517578125,9631300
2024-08-06,252.65315044411548,256.5833009429697,251.93410280133386,254.3867645263672,21586800
2024-08-07,255.76575865376458,258.1002098230019,252.46599419071168,252.67283630371094,12908600
